video_num,video_file_name,level_of_violence,threat / action,weapons,fight,yell,throw,crowdiness,Fast Moves,Blood,violence
40,NV_473,none,none,0,0,0,0,0,1,0,0
41,NV_497,none,none,0,0,0,0,0,1,0,0
42,NV_530,none,none,0,0,0,0,1,1,0,0
43,NV_562,none,none,0,0,0,0,1,1,0,0
44,NV_559,none,none,0,0,0,0,1,1,0,0
45,NV_565,none,none,0,0,0,0,1,0,0,0
46,NV_571,none,none,0,0,0,0,1,1,0,0
47,NV_577,none,none,0,0,0,0,0,1,0,0
48,NV_578,low,threat,1,0,0,0,1,1,0,1
49,NV_591,none,none,0,0,0,0,1,0,0,0
50,NV_580,none,threat,0,0,0,0,1,1,0,1
51,NV_575,none,none,0,0,0,0,1,1,0,0
52,NV_630,none,none,0,0,0,0,0,1,0,0
53,V_345,low,action,0,1,0,0,0,1,0,1
54,V_394,low,action,0,1,0,0,0,1,0,1
55,V_395,low,action,0,1,0,0,0,1,0,1
56,V_425,medium,action,0,1,0,0,0,1,0,1
57,V_416,low,action,0,1,0,0,0,1,0,1
58,V_448,low,action,0,1,0,0,1,1,0,1
59,V_456,medium,action,0,1,1,0,0,1,0,1
60,V_459,medium,action,0,1,1,0,1,1,0,1
61,V_461,medium,action,0,1,0,0,0,1,0,1
62,V_482,low,action,0,1,1,0,0,1,0,1
63,V_498,medium,action,0,1,0,0,0,1,0,1
64,V_506,low,action,0,1,0,0,1,1,0,1
65,V_493,medium,action,0,1,0,0,1,1,0,1
67,V_510,low,action,0,1,0,0,1,1,0,1
68,V_524,medium,action,0,1,0,0,1,1,0,1
69,V_540,medium,action,0,1,0,0,1,1,0,1
70,V_571,medium,action,0,1,0,0,1,1,0,1
71,V_517,low,action,0,1,0,0,0,1,0,1
72,V_521,medium,action,0,1,0,0,0,1,0,1
73,V_569,low,action,0,1,0,0,1,1,0,1
74,V_629,medium,action,0,1,0,0,1,1,0,1
75,NV_878,none,none,0,0,0,0,0,0,0,0
76,NV_645,none,none,0,0,0,0,0,1,0,0
77,NV_638,none,none,0,0,1,0,0,1,0,0
78,NV_672,none,none,0,0,0,0,0,1,0,0
79,NV_687,none,none,0,0,0,0,0,0,0,0
80,NV_180,none,none,0,0,0,0,0,1,0,0
81,NV_184,none,none,0,0,0,0,1,1,0,0
82,NV_174,none,none,0,0,0,0,1,1,0,0
83,NV_194,none,none,0,0,0,0,0,1,0,0
84,NV_216,none,none,0,0,0,0,0,0,0,0
85,NV_207,none,none,0,0,0,0,0,0,0,0
86,NV_248,none,none,0,0,0,0,0,0,0,0
87,NV_249,none,none,0,0,0,0,0,0,0,0
88,NV_272,none,none,0,0,0,0,0,0,0,0
89,NV_284,none,none,0,0,0,0,0,0,0,0
90,NV_271,none,none,0,0,0,0,1,1,0,0
91,NV_296,none,none,0,0,0,0,0,1,0,0
92,NV_290,none,none,0,0,0,0,0,1,0,0
93,NV_292,none,none,0,0,0,0,0,1,0,0
94,NV_293,none,none,0,0,0,0,0,1,0,0
95,NV_326,none,none,0,0,0,0,0,1,0,0
96,NV_320,none,none,0,0,0,0,0,1,0,0
97,NV_321,none,none,0,0,0,0,0,0,0,0
98,NV_348,none,none,0,0,0,0,0,1,0,0
99,NV_353,none,none,0,0,0,0,0,1,0,0
100,NV_363,none,none,0,0,0,0,1,1,0,0
101,NV_465,none,none,0,0,0,0,0,1,0,0
102,NV_463,none,none,0,0,0,0,0,1,0,0
103,NV_472,none,none,0,0,0,0,0,0,0,0
104,NV_544,low,threat,0,0,0,0,1,1,0,1
105,NV_545,none,none,0,0,0,0,1,1,0,0
106,NV_543,none,none,0,0,0,0,1,1,0,0
107,NV_603,none,none,0,0,0,0,0,1,0,0
108,NV_629,none,none,0,0,0,0,0,0,0,0
109,V_12,medium,action,0,1,0,0,0,1,0,1
110,V_16,medium,action,0,1,0,0,0,1,0,1
111,V_21,medium,action,0,1,0,0,0,1,0,1
112,V_58,medium,action,0,1,0,0,1,1,0,1
113,V_125,low,threat,0,0,0,1,1,1,0,1
114,V_122,medium,action,0,1,0,0,0,1,0,1
115,V_173,medium,action,0,1,0,0,1,1,0,1
116,V_166,medium,action,0,1,0,0,1,1,0,1
117,V_193,low,action,0,1,0,0,1,1,0,1
118,V_206,medium,action,0,1,0,0,0,1,0,1
119,V_244,medium,action,0,1,0,0,0,1,0,1
120,V_269,low,action,0,1,0,0,0,1,0,1
121,V_31,medium,action,0,1,0,0,0,1,0,1
122,V_25,medium,action,0,1,0,0,1,1,0,1
123,V_17,medium,action,0,1,0,0,1,1,0,1
124,newfi43,low,action,0,1,0,0,0,1,0,1
125,newfi88,low,action,0,1,0,0,0,1,0,1
126,NV_6,none,none,0,0,0,0,0,0,0,0
127,NV_16,none,none,0,0,0,0,0,1,0,0
128,NV_7,none,none,0,0,0,0,1,0,0,0
129,V_83,medium,action,0,1,0,0,1,1,0,1
130,V_66,medium,action,0,1,0,0,1,1,0,1
